Cluster,Latitude,Longitude
0,48.993702133333336,12.427568716666666
1,48.720047168067225,12.45481680672269
2,48.724935517985614,12.471898086330935
3,48.73508636363636,12.45912412396694
4,48.724306604166664,12.511736770833332
5,48.74137493370166,12.502888955801104
6,48.730295720306515,12.45820864367816
7,48.73080858174387,12.458193682561307
8,48.74758762937063,12.463434867132866
9,48.72757339568345,12.454393595066804
10,48.746929400000006,12.464957672727273
11,48.75400907608696,12.487022179347827
12,48.375599525974025,12.474083584415583
13,48.37303524460432,12.477150712230216
14,48.38399311926605,12.489955
15,48.38912738787879,12.49535887878788
16,48.72934282822086,12.455838447852761
17,48.74555109405941,12.465749955445544
18,48.745651467741936,12.465982387096775
19,48.745918937106914,12.464993358490565
20,48.745785671353254,12.465470903339192
21,49.0111006835443,12.40620632278481
22,49.00950757913669,12.404145647482014
23,49.0090624453125,12.405930234374999
24,48.351950234375,12.4908623359375
25,48.75129293491124,12.493900671597633
26,49.00078571326165,12.390286684587814
27,48.99934081746032,12.388102222222221
28,48.36364774615385,12.523517153846154
29,48.364522008928574,12.523263392857142
30,48.74974937593985,12.489130270676691
31,48.749457846153845,12.48974067132867
32,49.00018692660551,12.387470201834862
33,49.00022401652893,12.387276595041323
34,49.00784830039525,12.398827011857707
35,48.742071504854366,12.475580038834952
36,49.004266682027655,12.383091373271888
37,49.00604758783784,12.377756763513514
38,48.728822163865544,12.456747668067228
39,48.744194684542585,12.475339952681388
40,48.74519883333333,12.477743749999998
41,48.99597846448088,12.395408431693989
42,48.996004020997376,12.387760771653543
43,48.729018671328674,12.45638106993007
44,48.7292262972973,12.456366050675676
45,49.00151573728814,12.401929305084746
46,49.00592655663431,12.401473582524272
47,49.0038501641791,12.40647002238806
48,48.99914355,12.40903445
49,48.998872346153846,12.406063403846153
50,48.73097699792961,12.457880933747411
51,48.730241225300574,12.45735462467329
52,48.73043292957747,12.457077690140846
53,48.99899495211268,12.399074498591549
54,48.370308400498544,12.521537700872456
55,48.99821096721311,12.39853481967213
56,48.99857094204425,12.399929798735512
57,49.00229422,12.41322271
58,49.002856878923765,12.411630430493272
59,48.36849023371647,12.505207183908045
60,48.368956309128635,12.518635390041494
61,49.00785100326797,12.374378088235295
62,49.0148008,12.375128217391303
63,49.01348489230769,12.377971898461539
64,48.366825937106924,12.515933943396227
65,48.368151465879265,12.515390514435696
66,48.36123745918367,12.506719897959185
67,48.360646724637675,12.509981398550725
68,48.35593593215339,12.509690831858407
69,49.012340307936505,12.371269584126985
70,49.01118022495274,12.374684744801513
71,48.36186739830509,12.499635923728814
72,48.36440281679389,12.497507580152671
73,48.36498204016064,12.499845678714859
74,48.35444097222222,12.51348125
75,48.354003686991874,12.512634886178862
76,48.35880224342105,12.495517934210525
77,48.35903494017094,12.494232042735042
